id,controlPointX,controlPointY,controlPoint2X,controlPoint2Y,leafHeight,leafThickness,resolution,leafHue,leafSaturation,leafBrightness,creationDate
1,0.633997,0.1,0.25,0.7,1,0.25,10,0.6959944,0.9219978,0.7,2023-05-30 06:59:32
2,0.9239933,0.1,0.25,0.7,1,0.25,10,0.7339939,0.75,0.7,2023-05-30 07:05:11
3,0.1340094,0.1,0.25,0.7,1,0.25,10,0.9480007,0.75,0.7,2023-05-30 07:05:32
4,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:08:22
5,0.4,0.1,0.25,0.7,1,0.25,10,0.5659961,0.75,0.7,2023-05-30 07:08:32
6,0.4,0.1,0.25,0.7,1,0.25,10,0.8879919,0.75,0.7,2023-05-30 07:08:42
7,0.6599967,0.1,0.25,0.7,1,0.25,10,0.6400046,0.75,0.7,2023-05-30 07:08:51
8,0.4,0.1,0.25,0.7,1,0.25,10,0.5919957,0.75,0.7,2023-05-30 07:16:59
9,0.7259958,0.1,0.25,0.7,1,0.25,10,0.8700017,0.75,0.7,2023-05-30 07:17:17
10,0.7259958,0.1,0.25,0.7,1,0.25,10,0.8700017,0.75,0.7,2023-05-30 07:17:28
11,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:38:24
12,0.4,0.1,0.25,0.7,1,0.25,10,0.6799946,0.75,0.7,2023-05-30 07:39:20
13,0.3740081,0.1,0.25,0.7,1,0.25,10,0.6319952,0.75,0.7,2023-05-30 07:39:40
14,0.4,0.1,0.25,0.7,1,0.25,10,0.9360008,0.75,0.7,2023-05-30 07:39:58
15,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:44:28
16,0.4,0.1,0.25,0.7,1,0.25,10,0.8579923,0.75,0.7,2023-05-30 07:44:45
17,0.9159934,0.1,0.25,0.7,0.5540057,0.25,10,0.7780029,0.75,0.7,2023-05-30 07:45:00
18,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:45:11
19,0.4,0.1,0.25,0.7,1,0.25,10,0.5959957,0.75,0.7,2023-05-30 07:45:30
20,0.4,0.1,0.25,0.7,1,0.25,10,0.8159928,0.75,0.7,2023-05-30 07:45:48
21,0.4,0.4819973,0.25,0.9999961,0.7860028,0.25,10,0.26,0.75,0.7,2023-05-30 07:46:05
22,0.4,0.1,0.25,0.7,0.5640056,0.25,10,0.6059955,0.75,0.7,2023-05-30 07:46:17
23,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:46:26
24,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:46:38
25,0.4,0.1,0.25,0.7,1,0.25,10,0.9699908,0.75,0.7,2023-05-30 07:46:49
26,0.4,0.1,0.25,0.7,1,0.25,10,0.5300061,0.75,0.7,2023-05-30 07:47:01
27,0.4,0.1,0.25,0.7,1,0.25,10,0.05199976,0.75,0.7,2023-05-30 07:47:11
28,0.4,0.3019996,0.25,0.7,1,0.25,10,0.04599977,0.897992,0.7,2023-05-30 07:47:25
29,0.4,0.1,0.25,0.7,1,0.25,10,0.4809974,0.75,0.9780003,2023-05-30 07:47:39
30,0.2220003,0.1,0.25,0.7,1,0.25,10,0.9860002,0.75,0.9900001,2023-05-30 07:47:57
31,0.4,0.1,0.25,0.7,1,0.25,10,0.4709975,0.75,0.7,2023-05-30 07:48:08
32,0.4,0.353999,0.2200003,0.7,1,0.25,10,0.8020025,0.75,0.9560006,2023-05-30 07:48:28
33,0.4,0.1,0.25,0.7,0.4920065,0.25,10,0.26,0.75,0.7,2023-05-30 07:48:38
34,0.4,0.1,0.25,0.7,1,0.6299955,10,0.109,0.75,0.7,2023-05-30 07:48:52
35,0.4,0.1,0.25,0.7,1,0.25,10,0.4999969,0.75,0.7,2023-05-30 07:49:01
36,0.376008,0.3899985,0.008009326,0.9920001,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:49:20
37,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:49:30
38,0.4,0.1,0.25,0.7,1,0.25,10,0.7899932,0.75,0.7,2023-05-30 07:49:41
39,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:49:51
40,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:50:15
41,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:03
42,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:22
43,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:22
44,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:23
45,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:23
46,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:23
47,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:24
48,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:24
49,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:24
50,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:25
51,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:34
52,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:34
53,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:35
54,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:35
55,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:35
56,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:36
57,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:37
58,0.4,0.1,0.25,0.7,1,0.25,10,0.26,0.75,0.7,2023-05-30 07:53:37
